n,win,mean,median,pf,t,avg_win,avg_loss,entry,exit,risk,window
3039,0.18821980914774597,-0.01215566226531907,-0.02598,0.44028033937682765,-14.593930353295566,0.050800972568679166,-0.026752822834855753,h1_green(첫1h 양봉·상단마감→10:30),→14:30,손절2%,test
3039,0.23790720631786771,-0.012833104120318944,-0.03597000000000005,0.4867328929905417,-13.621041010907744,0.05115303237635926,-0.032808050876406314,h1_green(첫1h 양봉·상단마감→10:30),→14:30,손절3%,test
3039,0.2918723264231655,-0.01374620716994244,-0.023976843788230947,0.5229398219303257,-12.347188616127493,0.05162600437460624,-0.04069098023686375,h1_green(첫1h 양봉·상단마감→10:30),→14:30,손절5%,test
3039,0.2882527147087858,-0.013790199952603329,-0.03596999999999994,0.4132886963090247,-21.310345517065873,0.03369971507243477,-0.03302328620407507,h1_green(첫1h 양봉·상단마감→10:30),→14:30,손절3%+익절5%,test
3039,0.25238565317538664,-0.012787490283962866,-0.03596999999999994,0.47932760300170174,-16.599253120716284,0.04664322145650277,-0.032850587073107736,h1_green(첫1h 양봉·상단마감→10:30),→14:30,손절3%+익절10%,test
3039,0.3099703849950642,-0.013420075799327292,-0.022159284918965457,0.5213730958269297,-14.671260656506972,0.047161355139338605,-0.04063405192914287,h1_green(첫1h 양봉·상단마감→10:30),→14:30,손절5%+익절10%,test
3039,0.2474498190194143,-0.012025035735836125,-0.02722854748185277,0.4610007597437273,-14.602787246127125,0.04156355852714149,-0.02964577158444092,h1_green(첫1h 양봉·상단마감→10:30),→14:30,트레일3%,test
3039,0.29022704837117475,-0.012732403412612612,-0.021752217324522812,0.5158653138466618,-12.495636828536961,0.04674580398226256,-0.0370531168675407,h1_green(첫1h 양봉·상단마감→10:30),→14:30,트레일5%,test
3039,0.24086870681145114,-0.013322703873782375,-0.03596999999999994,0.456212712062853,-14.985245617098908,0.04640345585060189,-0.03227352698529051,h1_green(첫1h 양봉·상단마감→10:30),→14:30,손절3%+트레일5%,test
3039,0.37347811780190854,-0.010338999210914152,-0.014590075554901768,0.7024612142923788,-5.654994502445062,0.06535699931483692,-0.055462401693439085,h1_green(첫1h 양봉·상단마감→10:30),→종가,손절없음,test
3039,0.1773609740046068,-0.012232642832316157,-0.02598000000000011,0.45864179586566445,-14.056942350310868,0.05843205184315423,-0.027467951004347572,h1_green(첫1h 양봉·상단마감→10:30),→종가,손절2%,test
3039,0.23856531753866403,-0.012022499370590915,-0.03597000000000005,0.5412490813152432,-10.981934974448873,0.05945764200206207,-0.034417962851651156,h1_green(첫1h 양봉·상단마감→10:30),→종가,손절3%,test
3039,0.3027311615663047,-0.012510215485257561,-0.028512560827324337,0.5886392283900944,-9.862591699667473,0.05913355521909471,-0.04361558077454689,h1_green(첫1h 양봉·상단마감→10:30),→종가,손절5%,test
3039,0.3020730503455084,-0.013562689577717573,-0.03597000000000005,0.44012172257475174,-20.244174769470565,0.03529498705519339,-0.034709010722937875,h1_green(첫1h 양봉·상단마감→10:30),→종가,손절3%+익절5%,test
3039,0.2560052648897664,-0.012554932644624636,-0.03597000000000005,0.5102906031023174,-15.52985889667462,0.051102791420237124,-0.03445927113310869,h1_green(첫1h 양봉·상단마감→10:30),→종가,손절3%+익절10%,test
3039,0.3260941099045739,-0.01260253030930758,-0.025928047517404847,0.5710410722062387,-12.972502350439472,0.051447755323719736,-0.043595612859273436,h1_green(첫1h 양봉·상단마감→10:30),→종가,손절5%+익절10%,test
3039,0.25370187561697927,-0.011994691273479102,-0.0286857233981308,0.4677237863955732,-14.529735695559394,0.04154490730593976,-0.030195322007487892,h1_green(첫1h 양봉·상단마감→10:30),→종가,트레일3%,test
3039,0.3050345508390918,-0.012208607655816958,-0.024204969901652548,0.5470279610115069,-11.631594623993713,0.04833427781281138,-0.0387821184652007,h1_green(첫1h 양봉·상단마감→10:30),→종가,트레일5%,test
