train_n_trades,train_win_rate,train_total_return,train_max_drawdown,train_profit_factor,train_expectancy,train_sharpe,train_avg_hold_days,test_n_trades,test_win_rate,test_total_return,test_max_drawdown,test_profit_factor,test_expectancy,test_sharpe,test_avg_hold_days,model,kind,params,exclude_earnings,exit
522,0.4731800766283525,-0.5612725031010186,-0.7825212492814957,0.8683320058443734,-0.009598322783261524,-0.5805851166486794,8.739463601532567,286,0.42657342657342656,-0.30993749555117245,-0.5963125822662625,0.9218276204450814,-0.003061771067809081,-0.28770428713761176,8.496503496503497,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 50}",False,"{""stop_pct"": null, ""target_pct"": 0.4, ""max_hold_days"": 10}"
3030,0.33795379537953796,-0.9002248726034532,-0.9035053538998535,0.7632378681049271,-0.0072139398353524686,-2.8750631428131666,0.5871287128712871,2020,0.31633663366336634,-0.8727074503460729,-0.8727074503460729,0.6278581532314108,-0.009144377171714164,-2.4124360425551137,0.5400990099009901,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 1}"
1981,0.28975265017667845,-0.8376593112961209,-0.8714231028734316,0.7954773207732297,-0.008710021380371089,-1.9673472234879867,1.4659262998485614,1227,0.23634881825590873,-0.759511377049838,-0.7620007001996794,0.6949034562906128,-0.01095596750900125,-0.9564013449973767,1.2428687856560716,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 3}"
1537,0.27260897852960314,-0.6991160041690179,-0.8136655679939642,0.8343638562026487,-0.0070749661596297775,-1.0625996108131246,2.1496421600520494,963,0.21391484942886813,-0.380755012968794,-0.653200139814567,0.8827265538557805,-0.0024286755898482643,-0.01144321513281012,1.7705088265835929,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 5}"
1110,0.2018018018018018,-0.7818976709004342,-0.8731153312079103,0.7512103178407423,-0.012766988006810311,-1.4486101965286637,3.274774774774775,705,0.17163120567375886,-0.4544611234271342,-0.6254059934293694,0.8004914772711891,-0.00819380941348441,-0.21486578349490054,2.675177304964539,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": null, ""max_hold_days"": 10}"
3092,0.34023285899094435,-0.9579665716279907,-0.9593443471847453,0.7052375201484836,-0.010077545684107812,-5.478837157090214,0.5206985769728332,2033,0.32021642892277424,-0.9391054042764838,-0.9391054042764838,0.5584597864754406,-0.013606910525504562,-8.44333978270212,0.4825381210034432,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 1}"
2141,0.3110695936478281,-0.8776811146978601,-0.8905941634772954,0.7655330843665239,-0.009598628502197242,-3.7047893157757854,1.190098085007006,1332,0.2755255255255255,-0.8194786930893346,-0.8194786930893346,0.6414494688430705,-0.012512149218892874,-5.087668488209692,0.9857357357357357,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 3}"
1762,0.30703745743473326,-0.787459224657074,-0.8242199951727308,0.8053130277426926,-0.008595725627668516,-2.9255557689703,1.649262202043133,1137,0.25065963060686014,-0.7949024452123727,-0.7985993543381401,0.6296922742376188,-0.013739799008508264,-4.871432041196045,1.2612137203166227,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 5}"
1377,0.2737835875090777,-0.733329686945597,-0.7844287984087966,0.8178930087617311,-0.009381676964663825,-2.596205833517945,2.3195352214960057,916,0.2314410480349345,-0.7429066567225437,-0.7457671223016155,0.6407409217691026,-0.014552814017408775,-4.537118450626428,1.759825327510917,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.15, ""max_hold_days"": 10}"
3041,0.3370601775731667,-0.9079635536241801,-0.9109889616664942,0.7762677510237247,-0.007486936212596578,-3.2695184530486348,0.574482078263729,2023,0.314878892733564,-0.9279731974637035,-0.9279731974637035,0.5588026904271934,-0.01277192441425832,-7.020594987629338,0.5289174493326743,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.4, ""max_hold_days"": 1}"
2021,0.2924294903513112,-0.800551106005989,-0.8583359746214485,0.8298299586689392,-0.007574888798812355,-2.0511931064600777,1.3953488372093024,1255,0.24223107569721117,-0.7945966534877554,-0.7966662425861146,0.662352858554363,-0.012249046795716775,-3.8591375113486266,1.1768924302788846,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.4, ""max_hold_days"": 3}"
1590,0.2830188679245283,-0.707965427852603,-0.8076052489990038,0.8427413395320842,-0.007473804272226531,-1.5616990791493592,2.020125786163522,1006,0.21968190854870775,-0.6951760163777913,-0.7092056275346101,0.705553539350042,-0.011381472265361035,-2.9045210475765355,1.6242544731610338,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.4, ""max_hold_days"": 5}"
1174,0.21550255536626917,-0.7047372245576713,-0.8154728743562214,0.8179612249490772,-0.009970002150159894,-1.725788268304835,3.0017035775127767,757,0.19154557463672392,-0.5660932027262402,-0.5908443115377354,0.7408335723708435,-0.010312846331234178,-2.216475504431392,2.4121532364597096,finviz_top_gainer,screen,"{""min_ret"": 0.1, ""min_rsi"": 60}",False,"{""stop_pct"": 0.05, ""target_pct"": 0.4, ""max_hold_days"": 10}"
